index,date,state,fips,positive,negative,death,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,deathIncrease,new positive cases,new negative cases,new deaths,new negative cases (last 7 days),new positive cases (last 7 days),new deaths (last 7 days),tests (last 7 days),death rate (last 7 days),positive case pct,new deaths (per capita),Hospitalized (per capita),In ICU (per capita),On Ventilator (per capita),new positive (per capita),tests (last 7 days per capita),testing rate of change,testing rate of change (last 7 days average),death pct rate of change,positive case pct rate of change,positive case pct rate of change (last 7 days average),positive cases rate of change,positive cases rate of change (last 7 days average)
8358,2020-03-06,GA,13,2.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8359,2020-03-06,IA,19,0.0,15.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8360,2020-03-06,IL,17,5.0,180.0,,,,,0,0.0,15.0,0,56.0,1.0,0.0,57.0,0.0,0.017543859649122806,0.0,,,,7.848628216760275e-08,4.473718083553356e-06,0.35714285714285715,0.35714285714285715,0.0,-0.006265664160401002,0.008771929824561403,,1.0
8361,2020-03-06,IN,18,1.0,,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8362,2020-03-06,KS,20,0.0,4.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8363,2020-03-06,KY,21,0.0,7.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8364,2020-03-06,MD,24,3.0,26.0,,,,,0,3.0,9.0,0,9.0,3.0,0.0,12.0,0.0,0.25,0.0,,,,4.964653323223092e-07,1.985861329289237e-06,inf,0.0,0.0,0.25,0.25,1.0,1.0
8365,2020-03-06,MI,26,98.0,8.0,,,,,0,26.0,0.0,0,0.0,89.0,0.0,89.0,0.0,1.0,0.0,,,,8.903637135769963e-06,8.903637135769963e-06,0.4126984126984127,0.8438981173864893,0.0,0.0,0.2,1.0,1.0
8366,2020-03-06,MN,27,1.0,36.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8367,2020-03-06,NC,37,2.0,,,,,,0,1.0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,9.630552735943727e-08,9.630552735943727e-08,inf,0.0,0.0,1.0,1.0,1.0,1.0
8368,2020-03-06,NE,31,0.0,17.0,,,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,0.0
8369,2020-03-06,NH,33,2.0,20.0,,,,,0,0.0,4.0,0,10.0,0.0,0.0,10.0,,0.0,0.0,,,,0.0,7.372141267919832e-06,0.6666666666666666,0.6666666666666666,,0.0,0.0,,0.0
